Activity,SubFP5,SubFP8,SubFP12,SubFP16,SubFP28,SubFP84,SubFP86,SubFP96,SubFP133,SubFP179,SubFP181,SubFP224,SubFP296,SubFP300,SubFP302,SubFPC1,SubFPC85,SubFPC151,SubFPC274,SubFPC275,SubFPC295,SubFPC300,SubFPC302,SubFPC303
Active,0.646209135,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,3.877254808,1.292418269,9.462091347,7.877254808,4.231045674,1.292418269
Active,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,6,1,7,4,2,0
Active,0,0,0,0,0,1,0,0,0,0.539447041,0.539447041,0,0.460552959,1,1,0.460552959,0,0,2.697235207,2,7.460552959,7,2.539447041,0
Active,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.121745211,0,0,5.269528734,0,3,4.878254789,2.756509578,0
Active,0.606384418,0,0.606384418,0,0,0.393615582,0,0,0,0,0,0,0,1,1,0.606384418,0,0,2.361693495,0,1.787231165,4.393615582,2.393615582,0
Active,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,2,8,7,2,0
Active,0,0,0,0,0,1,0,0,0,0.371288958,0.371288958,0,0,1,1,0,0,0,5.628711042,0.742577915,4.48515583,5.742577915,3,0
Active,0,0,0,0,0,0.610625865,0,0,0,0,0.389374135,0,0,0.610625865,0.610625865,0.610625865,0,0,4.672489624,0.778748271,3.389374135,2.442503459,0.610625865,0
Active,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,4,1,0
Active,0,0,0,0,0,0.612620167,0,0,0,0.612620167,1,0,0,0.612620167,0.612620167,0,0,0,7.711658833,2,5.8378605,4.288341167,1.8378605,0
Active,0,0,0,0,0,0.519179222,0,0,0.480820778,0,0,0,0.519179222,1,1,0.519179222,0,0,0,1.038358443,5.11507533,5.557537665,2,0
Active,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,2,9,10,2,0
Active,0,0,0,0,0,0.001910918,0,0,0,0,0,0,0,1,1,0,0,1.996178163,6,0,6.992356326,5,3.998089082,0
Active,0,0.598639047,0,0,0,0.401360953,0,0,0,0.401360953,0.401360953,0,0,1,1,0,0,0,2.006804767,0.802721907,4.006804767,4.605443814,1.802721907,0
Active,0,0,0,0,0,1,0,0,0,0.700572904,0.700572904,0,0,1,1,0.299427096,0,0,3.502864518,1.401145807,5.802291614,6.101718711,2.401145807,0
Active,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,6,2,6,2,0,0
Active,0,0,0,0,0,0.599574978,0.400425022,0,0,0,0,0,0,1,1,0,0,0,6,0.400425022,4.601700088,4.599574978,2.599574978,0
Active,0.591727123,0,0,0,0,0.591727123,0,0,0.408272877,0,0,0,0,1,1,0.591727123,0,0,3.550362739,1.183454246,8.508998354,7.550362739,4.366908493,1.183454246
Active,0,0,0,0,0.840028289,0,0,0,0.159971711,0,0.840028289,0,0.840028289,1,1,0,0,0,4.200141445,1.680056578,5.360113156,1.479915133,1.159971711,0
Active,0.704239912,0,0,0.704239912,0,0.704239912,0,0,0.295760088,0,0,0,0,1,1,0,0,0,4.225439474,1.408479825,6.929679386,8.225439474,2,0
Active,0,0,0,0,0.93999981,0.06000019,0,0,0,0.06000019,1,0,0.93999981,1,1,0,0,0,5,2,6.06000019,1.36000114,1.12000038,0
Active,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,4,2,0
Active,0,0,0,0,0,0.470014656,0,0,0.529985344,0.470014656,0.470014656,0,0,1,1,0,0,0,2.350073282,0.940029313,4.350073282,5.410043969,2.470014656,0
Active,0,0,0,0,0,1,0,0,0,0.91626441,0.91626441,0,0,1,1,0,0,0,5.08373559,1.832528819,6.665057639,6.832528819,3,0
Active,0,0,0,0,0,0.751360049,0,0,0.248639951,0,0,0,0,1,1,0,0,0,4.508160291,0,2.751360049,4.751360049,2.751360049,0
Active,0,0,0,0,0.023729725,0.976270275,0,0,0,0,0.023729725,0,0.023729725,1,1,0,0,0,5.976270275,0.04745945,3.071189174,4.905081101,2.95254055,0
Active,0,0,0,0,0,0,0.19189801,0,0.80810199,0,0,0,0,1,1,0,0,0,1.151388061,0.19189801,2.959490051,4,2,0
Active,0,0,0,0,0,0.139347022,0,0,0.860652978,0.139347022,0.139347022,0,0,1,1,0,0,0,0.696735109,0.278694043,2.696735109,4.418041065,2.139347022,0
Active,0,0.445511816,0,0,0,0.554488184,0,0,0,0.554488184,0.554488184,0,0,1,1,0,0,0,2.77244092,1.108976368,4.77244092,5.217952736,2.108976368,0
Active,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,4,4,3,0
Active,0,0,0,0,0,0.773502689,0,0.226497311,0,0.773502689,1,0.226497311,0,1,0.773502689,0,0,0,5.226497311,2,6.773502689,5.867513447,2.320508068,0
Active,0,0.510959808,0,0,0,0.489040192,0,0,0,0.489040192,0.489040192,0,0,1,1,0,0,0,2.445200958,0.978080383,4.445200958,4.956160766,1.978080383,0
Active,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,4,2,0
Active,0,0,0,0,0,0.520417194,0,0.479582806,0,0.520417194,1,0.479582806,0,1,0.520417194,0,0,0,5.479582806,2,6.520417194,4.602085972,1.561251583,0
Active,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,6,0,6,4,6,0
Active,0,0,0,0,0,0.661320611,0,0,0,0.661320611,0.661320611,0,0,1,1,0.677358778,0.677358778,0,5.338679389,1.322641222,6.661320611,5.983961833,4.016038167,0
Active,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,5,2,6,1,1,0
Active,0,0,0,0,0,0.031922443,0,0,0,0.031922443,1,0,0,0.031922443,0.031922443,0,0,0,11.7765429,2,4.095767329,0.2234571,0.095767329,0
Active,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,5,2,7,7,3,0
Active,0,0,0,0,0,0.751710695,0,0.248289305,0,0,0.248289305,0.248289305,0.751710695,1,0.751710695,0,0,0,6,0.496578611,4.496578611,1.248289305,2.255132084,0
Active,0,0,0,0,0.038515047,0.961484953,0,0,0,0,0.038515047,0,0.038515047,1,1,0.961484953,0,0,0.192575236,0.077030094,3.115545142,3.884454858,1,0
Active,0,0,0,0,0,0,0,0.237544623,0,0,0.237544623,0.237544623,0,1,0.762455377,1.524910755,1.524910755,0,6,0.475089245,6,3.524910755,4.574732265,0
Active,0,0,0,0,0,0.074202582,0,0.925797418,0,0,0.925797418,0.925797418,0,1,0.074202582,0,0,0,6,1.851594836,5.777392255,2.222607745,0.222607745,0
Active,0.135750864,0,0,0,0,0.864249136,0,0,0,0,0,0.135750864,0,1,1,0.864249136,0,0,0,0,3.135750864,4,1.271501728,0
Active,0,0,0,0,0,0.098574282,0,0.901425718,0,0,0.901425718,0.901425718,0,1,0.098574282,0.098574282,0,0,5.408554309,1.802851436,5.704277154,2.197148564,0.098574282,0
Active,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.780218828,0,0,1.318687033,0,3,4.219781172,1.439562344,0
Active,0,0,0,0,0,0.990101817,0,0,0,0,0,0,0,1,1,1.009898183,0.019796366,0,0.059389098,0,3.029694549,4,1.049490915,0
Active,0,0.007648525,0,0,0,0,0,0.992351475,0,0,0.992351475,0.992351475,0,1,0.007648525,0,0,0,5.954108852,1.984702951,5.969405902,2.007648525,0.007648525,0
Active,0,0,0,0,0,0.018989328,0.981010672,0,0,0.018989328,0.018989328,0,0,1,1,0,0,0,5.981010672,1.018989328,7,4.056967985,2.018989328,0
Active,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,0,3,5,3,0
Active,0,0,0,0,0,0,0,0.248733295,0,0,0.248733295,0.248733295,0,1,0.751266705,1.50253341,1.50253341,0,6,0.49746659,6,3.50253341,4.507600229,0
Active,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,6,0,7,5,4,0
Active,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,2,4,0,0,0
Active,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,6,0,6,4,6,0
Active,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,5,2,6,1,1,0
Active,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,5,2,6,1,1,0
Active,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,2,4,0,0,0
Active,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,6,2,13,10,6,2
Active,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,3,1,0
Active,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,5,2,7,7,3,0
Active,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,5,2,6,1,1,0
